goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Jit/rule008-18         	 9665182	        11.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule008-18         	 9631317	        11.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-18         	 9409251	        11.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-18         	 9908637	        11.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-18         	 9405511	        11.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-18         	10167966	        11.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-18         	10033719	        11.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-18         	 9188073	        11.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-18         	10176385	        12.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule009-18         	 9616112	        11.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-18         	 8843506	        14.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-18         	 7913148	        14.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-18         	 8371292	        14.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-18         	 8393336	        14.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-18         	 9094255	        14.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-18         	 7442674	        14.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-18         	 8198697	        14.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule010-18         	 8752503	        14.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-18         	 8031108	        15.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-18         	 7241983	        14.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-18         	 8042796	        14.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-18         	 7162525	        14.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-18         	 8579600	        14.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-18         	 7159129	        15.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-18         	 8382440	        14.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule011-18         	 7856088	        14.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-18         	 9980518	        12.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-18         	 8108310	        13.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-18         	 9750172	        12.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-18         	 9245928	        12.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-18         	 8525040	        12.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-18         	 7713513	        13.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-18         	 8597804	        12.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule012-18         	 8849578	        12.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-18         	 9466063	        12.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-18         	 9727321	        12.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-18         	 9391250	        12.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-18         	10393702	        12.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-18         	 9290766	        12.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-18         	 7972351	        12.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule013-18         	 9515198	        13.55 ns/op	       0 B/op	       0 allocs/op
