goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Interpreter/rule008-18         	  549144	       240.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-18         	  427677	       253.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-18         	  524366	       242.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule008-18         	  503062	       256.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-18         	  539510	       235.1 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-18         	  525885	       235.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-18         	  585648	       249.8 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-18         	  582951	       243.5 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-18         	  554578	       230.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-18         	  515151	       247.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-18         	  557170	       242.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule009-18         	  498756	       229.7 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule010-18         	  509674	       239.2 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-18         	  494217	       249.0 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-18         	  509491	       246.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-18         	  464521	       235.2 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-18         	  486682	       241.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-18         	  499668	       251.7 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-18         	  563931	       253.6 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule010-18         	  548350	       228.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-18         	  572145	       236.1 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-18         	  453544	       241.7 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-18         	  518623	       231.3 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-18         	  476407	       236.6 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-18         	  468129	       259.4 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-18         	  558507	       243.7 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-18         	  497342	       252.6 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule011-18         	  499455	       245.0 ns/op	     152 B/op	       6 allocs/op
BenchmarkJit_Interpreter/rule012-18         	  574066	       255.0 ns/op	     168 B/op	       7 allocs/op
BenchmarkJit_Interpreter/rule012-18         	  498237	       231.2 ns/op	     168 B/op	       7 allocs/op
